AIM2	10	2	2	20	13	54
AIMP1	3538	83	318	2742	949	4268
AIMP2	1981	53	164	1715	584	2434
AIP	1079	43	168	684	160	1342
AIPL1	767	46	145	1142	362	1512
AIRE	105	1	6	87	36	125
AIRN	336	4	29	275	104	420
AJAP1	?	?	?	48	9	48
AJUBA	6771	228	681	4797	1450	6715
AK1	1989	69	268	1908	638	3218
AK2	12835	364	1292	13283	4174	17607
AK3	6451	187	675	6238	1696	9205
AK4	10095	239	930	9203	2950	11960
AK5	562	17	64	594	204	810
AK7	9	2	10	5	5
AK8	18	4	30	10	31
AKAP1	4167	140	399	3289	999	4738
AKAP10	3238	94	292	3242	1156	4736
AKAP11	11670	290	1032	8504	2799	11993
AKAP12	23664	674	2510	18878	6210	25065
AKAP13	16870	496	1588	21776	6894	28874
AKAP14	?	?	?	3	1	6
AKAP17A	2092	74	220	2256	692	3436
AKAP2	15234	371	1575	16559	5096	23431
AKAP3	?	?	?	7	3	19
AKAP5	3033	83	407	3105	1037	4740
AKAP6	356	6	37	297	119	414
AKAP7	397	12	53	415	161	666
AKAP8	1743	52	220	1853	617	2817
AKAP8L	3576	120	442	3261	1035	5133
AKAP9	16425	362	1621	14247	4642	19594
AKD1	320	7	38	208	59	286
AKIP1	2333	56	306	2611	855	3925
AKIRIN1	4285	153	451	3334	1057	5102
AKIRIN2	805	23	85	1003	352	1575
AKNA	1268	41	186	1119	374	1709
AKNAD1	?	?	?	64	13	61
AKR1A1	2298	77	272	1634	564	2584
AKR1B1	3015	87	341	3073	1059	4348
AKR1B10	401	11	81	665	181	950
AKR1B15	?	?	?	?	?	17
AKR1C1	84	2	3	86	39	135
AKR1C2	80	6	101	35	119
AKR1C3	81	9	97	24	139
AKR1C4	?	?	?	5	2	10
AKR1C6P	73	12	15	76	28	95
AKR1D1	215	4	44	355	125	534
AKR1E2	666	17	52	720	204	958
AKR7A2	2512	101	306	2476	771	4015
AKR7A2P1	275	3	27	268	75	362
AKR7A3	65	2	17	67	5	105
AKR7L	121	2	8	120	22	153
AKT1	7307	279	1050	6787	2037	12510
AKT1S1	618	12	94	478	125	813
AKT2	3660	112	468	1925	582	3614
AKT3	8252	259	864	6898	2249	9948
AKTIP	1538	32	124	1253	361	1806
ALAD	1263	35	127	1019	295	1648
ALAS1	3947	150	337	4279	1433	6361
ALAS2	?	?	?	1	3	7
ALB	?	?	?	3	3	12
ALCAM	47786	1234	4383	15134	4839	21352
ALDH16A1	415	13	82	169	66	353
ALDH18A1	10262	336	950	8909	2819	12143
ALDH1A1	?	?	?	?	?	68
ALDH1A2	196	7	14	138	35	221
ALDH1A3	3671	99	351	7040	2158	10338
ALDH1B1	2447	91	321	2440	748	3480
ALDH1L1	143	18	30	24	71
ALDH1L1-AS1	?	?	?	?	?	5
ALDH1L1-AS2	5	4	10	2	14
ALDH1L2	1512	41	201	1557	475	2351
ALDH2	1121	20	116	870	284	1574
ALDH3A1	?	?	?	?	?	7
ALDH3A2	2654	74	226	2894	810	4300
ALDH3B1	1004	39	100	840	255	1226
ALDH3B2	?	?	?	?	?	1
ALDH4A1	864	26	131	418	110	758
ALDH5A1	1647	47	196	1662	484	2443
ALDH6A1	2646	83	269	1506	406	2064
ALDH7A1	6564	140	717	5243	1593	7402
ALDH8A1	627	22	94	1057	160	2092
ALDH9A1	3979	79	378	5106	1624	6762
ALDOA	29207	1092	4154	27101	7815	50474
ALDOB	?	?	?	?	?	8
ALDOC	135	16	81	17	102
ALG1	4657	103	480	5175	1540	7117
ALG10	2803	61	215	1949	636	3043
ALG10B	4933	121	449	3471	990	4990
ALG11	1675	39	164	1458	521	2166
ALG12	1125	25	180	590	277	1285
ALG13	2559	42	274	2295	725	2946
ALG14	554	12	54	269	67	341
ALG1L	315	11	40	290	111	516
ALG1L2	71	4	2	76	19	116
ALG1L9P	125	2	25	126	49	239
ALG2	3419	71	279	3638	1187	5145
ALG3	1670	65	190	1394	473	2025
ALG5	2347	48	237	2249	812	3079
ALG6	1656	27	143	1426	560	2129
ALG8	7836	202	656	5811	2017	8171
ALG9	4587	102	428	3645	1232	4964
ALK	101	4	22	172	69	224
ALKBH1	1370	57	123	1619	446	2106
